pair_id	topic	relation	argument1	argument2	source_arg_1	source_arg_2
0017	cuba	no_relation	And I say to you today that in the affairs of nations , just as in the affairs of individuals , there comes a time when patience , which we have been displaying , is no longer a virtue - and that time is at hand as far as our dealings with Castro and his government are concerned . You will recall that last July we acted to safeguard our future sugar supplies by reducing the share allotted to Cuba . Now we must take further action to protect the interests of the United States and of our friendly sister Republics in the hemisphere .	I approved of his trip . But who does Mr. Nixon think he fools in the last 3 weeks of an election , who does he think he fools when he says we will have no more debates after this week , as he goes around the country casting his innuendoes , suggesting that we in the Democratic Party are not as devoted to the cause of freedom , implying that for some reason or other we were misled by Khrushchev and he understood him all the time ? I was not the Vice President of the United States who presided over the communization of Cuba . [ Applause .	Nixon_October_18_1960	Kennedy_October_18_1960
0018	cuba	no_relation	We see it in the chaos in Africa . And we have seen communism come to within 90 miles of our own shores , in Cuba . It is up to our generation to meet this challenge - to check the advance of communism , and to renew the advance of freedom .	But if I had done so , that would have been a mistake . Do you know who one of those leaders was ? The present President of Venezuela , Mr. Betancourt , a man who is firmly on the side of the United States , a man who is against the Communists , and a man who at the present time is standing with us in our policy of the Organization of American States with regard to Cuba and in other areas . Now I do not give this illustration to point up any personal abilities on my part .	Kennedy_September_15_1960	Nixon_September_13_1960
0020	cuba	no_relation	I think the struggle will be , really , to prevent the spread of Castroism throughout all of South America . Cuba really is an isolated island . The great problem that we face as citizens of this hemisphere is to prevent other countries from following that example .	A major portion of the blame , I say , will rest on Mr. Kennedy , who two weeks before an election has made a statement which not only is provocative , but will be interpreted by the Soviets as an express invitation to do exactly that . And if they do come in you know what the result is ? It can only mean a civil war in Cuba , which the United States would not avoid entering , and this result could easily be spread into a conflict , into a world war , that every American of both parties wants to avoid ; and I say that Senator Kennedy owes it to the Nation to put the cause of peace and freedom before political consideration and to retract this immature , rash , and dangerous suggestion that he has made . Now , some of you who heard the debate , though , will remember that he said :  But , after all , this is nothing new ,  that we helped , he said , the Castro forces get arms and ammunition in the United States when they were supporting their revolution against Batista .	Kennedy_October_23_1960	Nixon_October_22_1960
0021	disarmament	no_relation	They want to go Eisenhower 's way - and that 's our way , and that 's the way we 're going . Now , the last point that I make is one that I make particularly because I know of the great concern the people in these university communities have for the cause of disarmament . People have often spoken to me - my friends who are Quakers , as I am , have written to me - and they have said ,  Mr .	 It is only when we have a military force strong enough to convince the Russians that they 'll never be able to gain any advantage through military strength , only when we can approach the conference table in a position of equality , only then can we hope for fruitful negotiation . Second , we must establish an arms control research institute , under the direction of the President , to undertake , coordinate , and follow through on the research , development , and policy planning needed for a workable disarmament program . Detection and monitoring systems will require new techniques of aerial reconnaissance and radar surveillance , new uses for our communications systems , computers , and cameras , new ways to denature plutonium and inspect power reactors , and a whole host of additional research projects .	Nixon_October_27_1960	Kennedy_October_23_1960
0024	disarmament	no_relation	Fifth - And most important , the fight for disarmament must command the personal attention and concern of the President of the United States . Our defense and six disarmament experts are concentrated in many important agencies of Government - in the State Department , the Defense Department , the AEC and others . Only the President can overcome the frictions and differences between those agencies ; only he can weld all the parts of the Executive into a singleness of purpose in the pursuit of peace , and only the President can make the hard decisions , decisions involving peace or war , destruction or survival , which peace programs as well as war programs will surely bring .	I believe in this . I want disarmament , above everything else . I want peace above everything else .	Kennedy_October_23_1960	Nixon_October_22_1960
0025	disarmament	attack	 It is impossible for us to provide for the disarmament of outer space , the disarmament of nuclear weapons , unless we are in a position of parity with the Soviet Union . This administration has less than 100 people working in the entire Federal Government on the subject of disarmament . I think we can do a better job than that .	Now , when they make a proposal like this , it 's a cynical attempt to prevent progress , that 's what it is it shows that they do n't really want disarmament . Q. Can you estimate how long your disarmament duties will keep you under this self-imposed noncampaigning status ? A. Well , it is n't really self-imposed . It is - would obviously be inappropriate for me to , as the U.S. representative to the United Nations - to engage in partisan politics .	Kennedy_September_9_1960	Nixon_August_1_1960
0026	disarmament	support	[ Applause . ] Secondly , we must establish an arms control research institute , working full time under the direction of the President , and their function will be to conduct the research and make the studies on which our position will be based at future conferences which must be held in the sixties , on the important subject of disarmament and on the important subject of nuclear test control , a full time institute manned by men whose mission is peace just as we maintain the Pentagon , whose mission is war . We must also give the same attention , certainly as much , and if possible more attention , to the involved and important subject of peace .	We know what peace demands . We will always go the extra mile to strengthen peace , the extra mile to work for disarmament , the extra mile to reduce tensions , but we will always remember that the man we are dealing with and his colleagues are ruthless , fanatical aggressors and that they do not follow the rules of the game that we would like them to follow , and that we must treat them the way they are , and this means that we must never make a concession without being sure that we 're getting one in return , that we must never agree , for example , to disarmament unless we can be sure that they , too , are disarming . Why is this necessary for peace ? Because , as I said at my last stop , we 've got to remember that as long as the United States maintains its present position of being stronger than anyone who threatens the peace of the world we can be the guardians of peace ; but the moment that somebody or some nation that does not want peace - in other words , that would use war as an instrument of conquest - is stronger than we are , or thinks they are , then peace is no longer safe .	Kennedy_October_23_1960	Nixon_October_22_1960
0027	disarmament	attack	People have often spoken to me - my friends who are Quakers , as I am , have written to me - and they have said ,  Mr . Nixon , why does n't the United States show a more flexible attitude ? Why do n't we take the first step toward disarmament ?  Let me tell you what we have done . We have not only taken one step ; we have not only taken two steps , but we have gone the second mile , the third mile , way down the line on disarmament .	We had no position and we adopted that of the British . Our negotiators had to leave Geneva during the Conference itself to come to Washington to find out what our position was , and again we failed to prepare for disarmament . Throughout the consistent history of indifference and failure the arms race has continued to mount .	Nixon_October_27_1960	Kennedy_October_23_1960
0029	disarmament	no_relation	I select it because I believe it is the most important issue not only of this campaign , but of our time , of our generation , of this country . I select it because I know that the people of this State as the people of the other 49 States of the Union , want leadership which will continue to do what President Eisenhower has done , and for which the American people will be forever grateful to him , leadership that will keep the peace , keep it without surrender , leadership that will extend freedom , extend it without war , leadership which will make us proud of our Nation in the council of nations , leadership in which the President of the United States , when he goes to the United Nations , as a man of dignity , standing for disarmament , standing for progress , standing for helping the unfortunate people of the world , and gaining respect rather than making a fool out of himself as did Mr. Khrushchev when he was there at the United Nations - and I know that everybody in this audience , everybody listening to me on television and radio , recognizes that the problems are difficult , difficult not because of our choosing , difficult not because of the other peace-loving nations - and , fortunately , my friends , they are most of the nations in this world , our allies in Europe and in Asia , the so-called neutrals in Africa , and in South America , and in other countries . Certainly in this period we realize that the problems are difficult only because there is on the loose in the world a great aggressive force , a force which is fanatical which is ruthless , whose leaders do not follow the rules of international diplomacy , as we would like them to be followed , whose leaders - and I know them , and I speak from knowledge - are men who have one objective , and one only , and that is to conquer the world , conquer it without war , if they can , but willing to use any means , if that becomes necessary , and because when we have this kind of leadership , aggressive , always probing , always attempting to embarrass , always moving against us around the world , the period ahead is going to be a difficult one .	He criticized administration farm vetoes . He stressed , and I quote him ,  The necessity for the restoration of cordial relations with Latin America  and he called for more effective action against disarmament . The Democratic nominee in 1928 spoke 30 years ago tonight about building a stronger America , strengthening not only our economy but our sense of moral purpose and our public duty .	Nixon_October_22_1960	Kennedy_October_19_1960
0030	disarmament	support	So , anytime we make a disarmament agreement which does not have inspection , under which they might increase their strength as against ours , it increases the risk of war . That 's why I say that we stand for peace when we say , as President Eisenhower says : Yes , we will go to Geneva and discuss disarmament and stopping tests ; yes , we will go to the summit and discuss disarmament and stopping tests . Yes , but we will never agree to an agreement unless the Soviet Union is going to require inspection as well as the United States .	 It is only when we have a military force strong enough to convince the Russians that they 'll never be able to gain any advantage through military strength , only when we can approach the conference table in a position of equality , only then can we hope for fruitful negotiation . Second , we must establish an arms control research institute , under the direction of the President , to undertake , coordinate , and follow through on the research , development , and policy planning needed for a workable disarmament program . Detection and monitoring systems will require new techniques of aerial reconnaissance and radar surveillance , new uses for our communications systems , computers , and cameras , new ways to denature plutonium and inspect power reactors , and a whole host of additional research projects .	Nixon_October_27_1960	Kennedy_October_23_1960
0031	disarmament	attack	That is why , my friends , that is why the President of the United States has been correct in being firm in dealing with Mr. Khrushchev and not belligerent . That is why he has insisted that while he will always go an extra mile to negotiate disarmament or reduction of tensions , that he will never agree to weaken the United States unless we are sure that the Soviet Union is also reducing its military power at the same time . [ Applause .	If we have the ability to meet the problem of an abundance of food , in an imaginative way , that helps people of the world to realize the blessings the Lord has given them , then we assist ourselves and assist others . If we recognize that we do not have much time , that the nuclear capacity is traveling country after country , almost like a disease , until by the end of the next decade 15 , 20 , or 25 countries will have the power to destroy not merely their adversaries , but perhaps human life , and yet this a Administration has less than 100 people working in the entire Federal Government on the vital subject of disarmament and our negotiators have reflected that disinterest . [ Applause .	Nixon_October_1_1960	Kennedy_September_28_1960
0032	disarmament	no_relation	Now , if I might turn to one other point that I think should be covered on an occasion like this , what should be our diplomatic policy in these years ahead ? Diplomatically , the United States , as the President indicated at Baltimore this morning , must always be ready and willing to sit down at the conference table and discuss disarmament , to discuss any differences that we have with any other nation in the world , because we must work for peace constantly ; but on the other hand , let 's remember , as the President also said this morning , when it comes to disarmament we must never forget that we can take nothing on faith , because America must never give up any of its own strength unless we know that the potential enemies of freedom and of peace are also reducing their strength at the same time . In other words , we can have disarmament only with inspection , with the guarantees which the President has insisted upon and which we will insist upon in the next administration as well . And in the negotiations that we have , as far as these guidelines are concerned , may I suggest these other things should be remembered as well ; we must be firm in our dealings with the Soviet , as I have indicated , but we must be nonbelligerent .	Mr. Khrushchev has stated that he is going to make a special appeal to them . We are going to have a discussion of disarmament . But I do think that in the final analysis that the President should make a judgment as to whether he should attend the United Nations .	Nixon_September_12_1960	Kennedy_September_3_1960
0033	disarmament	attack	The hope for peace is to be firm against those who threaten the peace so that they ca n't blackmail us . The hope for peace is then to go out and sit down , from a position of strength , and negotiate for disarmament for peace but always from strength and never from weakness . And that 's what Cabot Lodge and I will do .	After 3 months , his report was dismissed and so was he , and a New York lawyer , after 5 weeks of preparation , was sent to head up our mission to the Disarmament Conference . One hundred people working on one of the most important , involved , specialized fields the subject of disarmament , nuclear control . I believe we can do better , and I believe we must do better .	Nixon_October_28_1960	Kennedy_October_23_1960
0034	disarmament	attack	They are afraid of diplomatic policies that teeter on the brink of war . They are dismayed that our negotiators have no solid plans for disarmament . And they are discouraged by a philosophy that puts its faith in swapping threats and insults with the Russians .	It 's a typically specious and frivolous maneuver . We have made a good-faith effort to advance the - advance toward disarmament - and make some progress by having a meeting of the Disarmament Commission . Now , when they make a proposal like this , it 's a cynical attempt to prevent progress , that 's what it is it shows that they do n't really want disarmament .	Kennedy_September_7_1960	Nixon_August_1_1960
0035	disarmament	no_relation	We will never be belligerent . We 're always going to be willing to go the extra mile to negotiate disarmament or anything , but we 're never going to fall into the fatal error of what has got us in war in the past and that is let dictators think that we will not react . So , this is the way to peace , and I want you to know that we will have no greater obligation than to keep the peace for ourselves , for our children , and also to see to it that our children have an opportunity to grow up and have a better life even than we 've had .	[ Applause . ] The struggle for disarmament will not be easy , but I do n't know any easy struggles in the 1960 's . The struggle for freedom in Latin America , the struggle for freedom in Africa , the struggle for freedom in Asia , the maintenance of the security of Western Europe , the maintenance of our commitments to Berlin , the hope for freedom in Eastern Europe , the development of the American economy , the security for American agriculture - all these are difficult problems , but I do not take the view that they are impossible problems .	Nixon_October_28_1960	Kennedy_October_23_1960
0036	disarmament	no_relation	[ Applause . ] My friends , I know that many well-intentioned people in this audience might well say , but really , Mr. Vice President , is n't there an easier way ? Could n't we agree for some of his proposals ? He says he is for disarmament . Why do n't we agree to it ? Why ca n't we take the first step ? Listen , my friends .	Our chief negotiator admitted at the 1958 conference on preventing surprise attacks that we , and I quote him ,  had n't up to this time really given the intense study of the kind of measure which would make this kind of measure possible ,  had not even intense study to the very program that they were then putting forward . A year ago when we went to the disarmament conference , we appointed an attorney from Massachusetts to set up an ad hoc committee . That committee met for 3 months .	Nixon_November_2_1960	Kennedy_November_2_1960
0037	disarmament	no_relation	And you ask about prestige . What do our opponents think ? Do they think that Mr. Khrushchev gains prestige for the Communists when he takes off his shoe at the United Nations and pounds the table with it ? I say no. I say that President Eisenhower gained prestige for America when with great dignity and great responsibility , he stood for peace , for disarmament , for all the things that Americans believe in. No , my friends , the real test of prestige , if our prestige was low , I can assure you , would occur in the United Nations , and there what do we find ? In every instance where we 've had a test vote - and listen to this - in the last 7 years , with the Soviet Union on one side and the United States on the other , we have won ; and in the vote on the Congo we won , 70 to nothing . My friends , that 's a pretty good score in football .	Yet , in the past 80 years , this problem has been virtually ignored ; we have had no real disarmament policy . And we have completely failed to provide the effort and the leadership which the pursuit of disarmament demands . In the entire U.S. Government we have had fewer than 100 men working on the complex problems of arms control .	Nixon_October_26_1960	Kennedy_October_23_1960
0038	disarmament	no_relation	People have often spoken to me - my friends who are Quakers , as I am , have written to me - and they have said ,  Mr . Nixon , why does n't the United States show a more flexible attitude ? Why do n't we take the first step toward disarmament ?  Let me tell you what we have done . We have not only taken one step ; we have not only taken two steps , but we have gone the second mile , the third mile , way down the line on disarmament .	Perhaps they will not agree to the effective system of inspection and control which is vital to agreement . Perhaps the Communist Chinese will refuse to participate in arms control negotiation , even though their ultimate participation is essential to effective disarmament . Perhaps the science of inspection will be unable to keep pace with advancing weapons technology .	Nixon_October_27_1960	Kennedy_October_23_1960
0039	disarmament	support	Fourth , while we are working to dismantle the engines of destruction we must work out methods of protecting ourselves against the growing danger of accidental war , through sure methods of informing ourselves about suspicious events or accidental firings so that neither nation can make a mistake which will trigger nuclear destruction . Fifth - And most important , the fight for disarmament must command the personal attention and concern of the President of the United States . Our defense and six disarmament experts are concentrated in many important agencies of Government - in the State Department , the Defense Department , the AEC and others .	We have to have the power because we are friends of peace . As long as America is the strongest nation in the world , the world need not fear that there will be war , because we will use our strength to keep peace , and I think that all of you , including those who are as dedicated to peace as I am , will say that we want the next President of the United States always to go the extra mile , as President Eisenhower has , to negotiate with Mr. Khrushchev or anybody else for disarmament . We want to go the extra mile to strengthen the United Nations and the instruments of peace , but under no circumstances do we want the next President to be a man who will be fooled , who will make concessions to them without getting concessions in return , and , above all , we do not want the next President to be one who will reduce the strength of America unless we 're absolutely sure that the enemies of peace are also reducing their strength at the same time .	Kennedy_October_23_1960	Nixon_October_22_1960
0040	disarmament	attack	 Let me tell you about disarmament . When people say ,  I 'm for disarmament ,  and when some people write to me and say  Why , when Mr. Khrushchev comes over and says he 's for total disarmament - why do we have to insist on inspection ? Why ,  they say ,  could n't we just do it ? Would n't that be real leadership in the world ? Would n't that be bold and imaginative ?  Yes , it would ; but do you know what would happen ? The moment the United States ever enters into an agreement for disarmament , which would result in increasing his strength as against ours , we do n't help the cause of peace . We hurt it , because - why is America the guardian of peace today ? Because we 're the strongest nation in the world , and the difference is : We do n't want to use our strength for anything except to keep the peace .	The pursuit of peace is still the focus of our leadership , our energies , and our determination . And disarmament is still the most vital step on the road to a lasting peace . The great question of the 1960 's - the overriding concern of all Americans and all men - is whether , in the coming decade , the world will move toward a secure peace and the survival of mankind or whether we will move toward war and common destruction .	Nixon_October_25_1960	Kennedy_October_23_1960
0041	medical care,health care	no_relation	I want to tell you something about them . It was the best medical care that you could possibly get , and we have the best in the world , and we want to keep it that way ; but my mother and father found it difficult to pay those bills . They did .	The only thing that has gone up is the cost of what the farmer buys . Behind these economic facts of life lie human tragedies , inadequate medical care and opportunities for farm people , young people leaving the farm for higher wages in the city , older men who have earned the right to semiretirement but who are forced to stay in harness - or give up their way of life altogether - because their sons are driven to the city and because they ca n't afford hired hands . The father who owns a farm and has thousands of dollars invested in farm equipment ends the year with less return than his factory-employed son  who 's invested in one pair of working gloves .	Nixon_October_24_1960	Kennedy_October_23_1960
0042	medical care,health care	support	We provide , under the program that we are offering and have worked for in the Congress , medical care for the aged tied to social security . Mr. Nixon leads a party in this campaign that voted 90 percent in the mid-thirties against social security itself ; and in the month of August 1960 , voted 95 percent against medical care for the aged tied to social security . I believe in an America where every family can live in a decent home in a decent neighborhood ; where children can play safely ; where no home is unsafe or unsanitary , and today there are 15 million American homes which are substandard , and yet , even though our population is increasing , we 're building this year 30 percent less homes in the month of September than we did a year ago - partly , because this administration in the last 15 months has vetoed two housing bills - and we were unable to pass one in this session of the Congress .	Medical care under our old-age assistance program needs to be improved . The Congress in its last session took an important step in the direction of providing more medical care for the neediest . But we can not assume that the problem is solved .	Kennedy_October_31_1960	Nixon_October_30_1960
0043	medical care,health care	no_relation	Last month , the cost of living hit an alltime high in the history of the United States , the culmination of a steady rise in the cost of living of over 10 percent . The cost of medical care has gone up 32 percent in the last 8 years . The cost of rent has gone up 20 percent .	This time he tries to convince the people that I am against social security . He has continued his misrepresentation of my position time and again when he has told the Nation that I am opposed to medical care for the aged . His campaign from Labor Day forward has been marked by this type of distortion .	Kennedy_November_5_1960	Nixon_November_4_1960
0045	medical care,health care	attack	[ Response from the audience . ] I want someone to tell me a single piece of domestic legislation that Mr. Nixon ever proposed that stood for progress for the people , from minimum wage , social security - this summer we tried to pass a bill for medical care for the older citizens . Under the bill , which the President signed , before you or your mother and father , who may be retired , who may have a heart attack or cancer or sick for several months - before they can get any assistance under that program , they first have to sign a petition that they are medically indigent .	In other words , we have here , you see , a program which covers all of our older citizens , including the 3 million not covered by our opponent 's , which forces nobody into the program who does n't want it , and yet which provides more benefits , and a greater choice of benefits than does our opponent . And I 'm getting tired of having him go around the country and say that we , my party and I , and my running mate , are against medical care for the aged , when it is he who has an inadequate program . We 're for it , and he 's against it , if we really want to lay it on the line .	Kennedy_October_27_1960	Nixon_October_26_1960
0047	medical care,health care	attack	[ Applause . ] Any party which opposed , when it began , social security , 90 percent , who voted 95 percent against the 25-cent minimum wage of the midthirties , who voted 90 percent in the House of Representatives against $ l.25 an hour in 1960 , any party which has opposed housing legislation , medical care for our aged tied to social security , any party which goes to the people in 1960 , saying we never had it so good , that our prestige has never been higher - I do n't believe that they are the party or the candidates to lead this country in the dangerous sixties . [ Applause .	So , on this particular issue I say that the very fact that I stand against this wasting of the people 's money , that I stand against programs that will not produce progress , but would only produce more spending , indicates an interest in and a concern for your problems - and I pledge to you that I will always have that concern in the years ahead . Now , if I could turn to one other issue , an issue of tremendous importance , an issue of overriding importance , I should say , in this campaign and for the whole world , what could be more important than a job ? What could be more important than adequate security and adequate pension ? What could be more important than good medical care , all of these things which I stand for and for which I have programs that I believe are far superior to my opponent 's : Well , being around to enjoy our good life in this country is more important than that . I have traveled a great deal , as you know perhaps , in the last 7 ½ years .	Kennedy_November_5_1960	Nixon_November_4_1960
0048	medical care,health care	attack	And to meet the pressing problem confronting men past working age , and their families , we must put through an effective program of medical care for the aged under the social security system . The present medical care program will not send one penny to needy persons without further action by the Congress and the State legislatures . It imposes an ugly needs test-a  pauper 's oath  - for eligibility .	We believe this is the American way to handle this problem . Now , some people might say ,  But , Mr. Nixon , wo n't it be easier to have it the other way ? Wo n't it be easier just to have the Federal Government take this thing over rather than to have a Federal - State program ? Wo n't it be easier not to bother with private health insurance programs ?  Yes ; it would be easier , a lot simpler , but , my friends , you would destroy the standard of medical care because , remember , we have the best medical care in the world today . We do n't want to destroy it , and speaking here in Rochester , Minn .	Kennedy_October_9_1960	Nixon_October_8_1960
